Filename, Object Description
pop0, Population( name = hippocampus )
pop1, Population( name = hippocampus_activity )
pop2, Population( name = reward_prediction_error )
pop3, Population( name = nacc_shell_d1 )
pop4, Population( name = nacc_shell_d2 )
pop5, Population( name = stn_ventral )
pop6, Population( name = vp_direct )
pop7, Population( name = vp_indirect )
pop8, Population( name = ventral_tegmental_area )
pop9, Population( name = pptn_ventral )
pop10, Population( name = cortical_feedback_ventral )
pop11, Population( name = thalamus_ventral )
pop12, Population( name = medial_pfc )
pop13, Population( name = nacc_core )
pop14, Population( name = substantia_nigra_pars_reticulata )
pop15, Population( name = visual_input )
pop16, Population( name = striatum_d1_dorsomedial )
pop17, Population( name = striatum_d2_dorsomedial )
pop18, Population( name = stn_dorsomedial )
pop19, Population( name = gpi_dorsomedial )
pop20, Population( name = gpe_dorsomedial )
pop21, Population( name = substantia_nigra_pars_compacta )
pop22, Population( name = pptn_dorsomedial )
pop23, Population( name = cortical_feedback_dorsomedial )
pop24, Population( name = thalamus_dorsomedial )
pop25, Population( name = dorsolateral_pfc )
pop26, Population( name = striatum_d1_dorsolateral )
pop27, Population( name = gpi_dorsolateral )
pop28, Population( name = thalamus_dorsolateral )
pop29, Population( name = premotor )
proj0, Projection( pre = hippocampus, post = nacc_shell_d1, target = exc, name = proj0 ) using connector: Specific 
proj1, Projection( pre = nacc_shell_d1, post = nacc_shell_d1, target = inh, name = proj1 ) using connector: Specific 
proj2, Projection( pre = nacc_shell_d1, post = vp_direct, target = inh, name = proj2 ) using connector: Specific 
proj3, Projection( pre = vp_direct, post = vp_direct, target = exc, name = proj3 ) using connector: Specific 
proj4, Projection( pre = vp_direct, post = vp_direct, target = exc, name = proj4 ) using connector: Specific 
proj5, Projection( pre = vp_direct, post = vp_direct, target = exc, name = proj5 ) using connector: Specific 
proj6, Projection( pre = vp_direct, post = vp_direct, target = exc, name = proj6 ) using connector: Specific 
proj7, Projection( pre = vp_direct, post = thalamus_ventral, target = inh, name = proj7 ) using connector: Specific 
proj8, Projection( pre = thalamus_ventral, post = thalamus_ventral, target = inh, name = proj8 ) using connector: Specific 
proj9, Projection( pre = hippocampus, post = nacc_shell_d2, target = exc, name = proj9 ) using connector: Specific 
proj10, Projection( pre = nacc_shell_d2, post = nacc_shell_d2, target = inh, name = proj10 ) using connector: Specific 
proj11, Projection( pre = nacc_shell_d2, post = vp_indirect, target = inh, name = proj11 ) using connector: Specific 
proj12, Projection( pre = vp_indirect, post = vp_direct, target = inh, name = proj12 ) using connector: Specific 
proj13, Projection( pre = medial_pfc, post = stn_ventral, target = exc, name = proj13 ) using connector: Specific 
proj14, Projection( pre = stn_ventral, post = stn_ventral, target = inh, name = proj14 ) using connector: Specific 
proj15, Projection( pre = stn_ventral, post = vp_direct, target = exc, name = proj15 ) using connector: Specific 
proj16, Projection( pre = hippocampus, post = hippocampus_activity, target = exc, name = proj16 ) using connector: Specific 
